Info [2021-07-21 23:38:02]CELLLog::SetLogPath success, </root/LearnSocket/logs/Client.txt,w>
Info [2021-07-21 23:38:02]CELLConfig::getStr strIP=127.0.0.1
Info [2021-07-21 23:38:02]CELLConfig::getInt nPort=4567
Info [2021-07-21 23:38:02]CELLConfig::getInt nThread=8
Info [2021-07-21 23:38:02]CELLConfig::getInt nClient=150
Info [2021-07-21 23:38:02]CELLConfig::getInt nMsg=1
Info [2021-07-21 23:38:02]CELLConfig::getInt nSendSleep=1000
Info [2021-07-21 23:38:02]CELLConfig::getInt nSendBuffSize=81920
Info [2021-07-21 23:38:02]CELLConfig::getInt nRecvBuffSize=81920
Info [2021-07-21 23:38:02]Thread<2>,start.
Info [2021-07-21 23:38:02]Thread<1>,start.
Info [2021-07-21 23:38:02]Thread<3>,start.
Info [2021-07-21 23:38:02]Thread<4>,start.
Info [2021-07-21 23:38:02]Thread<5>,start.
Info [2021-07-21 23:38:02]Thread<6>,start.
Info [2021-07-21 23:38:02]Thread<7>,start.
Info [2021-07-21 23:38:02]Thread<8>,start.
Info [2021-07-21 23:38:02]Thread<5>, Connect<begin=0, end=150, nConnect=671>
Info [2021-07-21 23:39:10]thread<8>,clients<150>,connect<1200>,time<1.000902>,send<1200>
Info [2021-07-21 23:39:11]thread<8>,clients<150>,connect<1200>,time<1.001103>,send<1200>
Info [2021-07-21 23:39:12]thread<8>,clients<150>,connect<1200>,time<1.000875>,send<1200>
Info [2021-07-21 23:39:13]thread<8>,clients<150>,connect<1200>,time<1.001218>,send<1200>
Info [2021-07-21 23:39:14]thread<8>,clients<150>,connect<1200>,time<1.000016>,send<1200>
Info [2021-07-21 23:39:15]thread<8>,clients<150>,connect<1200>,time<1.000365>,send<1200>
Info [2021-07-21 23:39:16]thread<8>,clients<150>,connect<1200>,time<1.001695>,send<1200>
Info [2021-07-21 23:39:17]thread<8>,clients<150>,connect<1200>,time<1.000851>,send<1200>
Info [2021-07-21 23:39:18]thread<8>,clients<150>,connect<1200>,time<1.000439>,send<1200>
Info [2021-07-21 23:39:19]thread<8>,clients<150>,connect<1200>,time<1.000212>,send<1200>
Info [2021-07-21 23:39:20]thread<8>,clients<150>,connect<1200>,time<1.001372>,send<1200>
Info [2021-07-21 23:39:21]thread<8>,clients<150>,connect<1200>,time<1.000249>,send<1200>
Info [2021-07-21 23:39:22]thread<8>,clients<150>,connect<1200>,time<1.000654>,send<1200>
Info [2021-07-21 23:39:23]thread<8>,clients<150>,connect<1200>,time<1.000242>,send<1200>
Info [2021-07-21 23:39:24]thread<8>,clients<150>,connect<1200>,time<1.000209>,send<1200>
Info [2021-07-21 23:39:25]thread<8>,clients<150>,connect<1200>,time<1.001982>,send<1200>
Info [2021-07-21 23:39:26]thread<8>,clients<150>,connect<1200>,time<1.001077>,send<1200>
Info [2021-07-21 23:39:27]thread<8>,clients<150>,connect<1200>,time<1.001171>,send<1200>
Info [2021-07-21 23:39:28]thread<8>,clients<150>,connect<1200>,time<1.001482>,send<1200>
Info [2021-07-21 23:39:29]thread<8>,clients<150>,connect<1200>,time<1.000891>,send<1200>
Info [2021-07-21 23:39:30]thread<8>,clients<150>,connect<1200>,time<1.001475>,send<1200>
Info [2021-07-21 23:39:31]thread<8>,clients<150>,connect<1200>,time<1.000998>,send<1200>
Info [2021-07-21 23:39:32]thread<8>,clients<150>,connect<1200>,time<1.000590>,send<1200>
Info [2021-07-21 23:39:33]thread<8>,clients<150>,connect<1200>,time<1.001097>,send<1200>
Info [2021-07-21 23:39:34]thread<8>,clients<150>,connect<1200>,time<1.000521>,send<1200>
Info [2021-07-21 23:39:35]thread<8>,clients<150>,connect<1200>,time<1.001329>,send<1200>
Info [2021-07-21 23:39:36]thread<8>,clients<150>,connect<1200>,time<1.000610>,send<1200>
Info [2021-07-21 23:39:37]thread<8>,clients<150>,connect<1200>,time<1.000055>,send<1200>
Info [2021-07-21 23:39:38]thread<8>,clients<150>,connect<1200>,time<1.000187>,send<1200>
Info [2021-07-21 23:39:39]thread<8>,clients<150>,connect<1200>,time<1.000914>,send<1200>
Info [2021-07-21 23:39:40]thread<8>,clients<150>,connect<1200>,time<1.000152>,send<1200>
Info [2021-07-21 23:39:41]thread<8>,clients<150>,connect<1200>,time<1.001490>,send<1200>
Info [2021-07-21 23:39:42]thread<8>,clients<150>,connect<1200>,time<1.001311>,send<1200>
Info [2021-07-21 23:39:43]thread<8>,clients<150>,connect<1200>,time<1.000944>,send<1200>
Info [2021-07-21 23:39:44]thread<8>,clients<150>,connect<1200>,time<1.000683>,send<1200>
Info [2021-07-21 23:39:45]thread<8>,clients<150>,connect<1200>,time<1.000151>,send<1200>
Info [2021-07-21 23:39:46]thread<8>,clients<150>,connect<1200>,time<1.000870>,send<1200>
Info [2021-07-21 23:39:47]thread<8>,clients<150>,connect<1200>,time<1.000156>,send<1200>
Info [2021-07-21 23:39:48]thread<8>,clients<150>,connect<1200>,time<1.000560>,send<1200>
Info [2021-07-21 23:39:49]thread<8>,clients<150>,connect<1200>,time<1.000145>,send<1200>
Info [2021-07-21 23:39:50]thread<8>,clients<150>,connect<1200>,time<1.001396>,send<1200>
Info [2021-07-21 23:39:51]thread<8>,clients<150>,connect<1200>,time<1.000657>,send<1200>
Info [2021-07-21 23:39:52]thread<8>,clients<150>,connect<1200>,time<1.000136>,send<1200>
Info [2021-07-21 23:39:53]thread<8>,clients<150>,connect<1200>,time<1.000866>,send<1200>
Info [2021-07-21 23:39:54]thread<8>,clients<150>,connect<1200>,time<1.000104>,send<1200>
Info [2021-07-21 23:39:55]thread<8>,clients<150>,connect<1200>,time<1.000666>,send<1200>
Info [2021-07-21 23:39:56]thread<8>,clients<150>,connect<1200>,time<1.000429>,send<1200>
Info [2021-07-21 23:39:57]thread<8>,clients<150>,connect<1200>,time<1.000158>,send<1200>
Info [2021-07-21 23:39:58]thread<8>,clients<150>,connect<1200>,time<1.000304>,send<1200>
Info [2021-07-21 23:39:59]thread<8>,clients<150>,connect<1200>,time<1.000729>,send<1200>
Info [2021-07-21 23:40:00]thread<8>,clients<150>,connect<1200>,time<1.001039>,send<1200>
Info [2021-07-21 23:40:01]thread<8>,clients<150>,connect<1200>,time<1.001132>,send<1200>
Info [2021-07-21 23:40:02]thread<8>,clients<150>,connect<1200>,time<1.001019>,send<1200>
Info [2021-07-21 23:40:03]thread<8>,clients<150>,connect<1200>,time<1.000324>,send<1200>
Info [2021-07-21 23:40:04]thread<8>,clients<150>,connect<1200>,time<1.000416>,send<1200>
Info [2021-07-21 23:40:05]thread<8>,clients<150>,connect<1200>,time<1.000423>,send<1200>
Info [2021-07-21 23:40:06]thread<8>,clients<150>,connect<1200>,time<1.000829>,send<1200>
Info [2021-07-21 23:40:07]thread<8>,clients<150>,connect<1200>,time<1.001065>,send<1200>
Info [2021-07-21 23:40:08]thread<8>,clients<150>,connect<1200>,time<1.000888>,send<1200>
Info [2021-07-21 23:40:09]thread<8>,clients<150>,connect<1200>,time<1.000870>,send<1200>
Info [2021-07-21 23:40:10]thread<8>,clients<150>,connect<1200>,time<1.000292>,send<1200>
Info [2021-07-21 23:40:11]thread<8>,clients<150>,connect<1200>,time<1.000644>,send<1200>
Info [2021-07-21 23:40:12]thread<8>,clients<150>,connect<1200>,time<1.000238>,send<1200>
Info [2021-07-21 23:40:13]thread<8>,clients<150>,connect<1200>,time<1.000720>,send<1200>
Info [2021-07-21 23:40:14]thread<8>,clients<150>,connect<1200>,time<1.000412>,send<1200>
Info [2021-07-21 23:40:15]thread<8>,clients<150>,connect<1200>,time<1.000436>,send<1200>
Info [2021-07-21 23:40:16]thread<8>,clients<150>,connect<1200>,time<1.001138>,send<1200>
Info [2021-07-21 23:40:17]thread<8>,clients<150>,connect<1200>,time<1.000691>,send<1200>
Info [2021-07-21 23:40:18]thread<8>,clients<150>,connect<1200>,time<1.000957>,send<1200>
Info [2021-07-21 23:40:19]thread<8>,clients<150>,connect<1200>,time<1.000784>,send<1200>
Info [2021-07-21 23:40:20]thread<8>,clients<150>,connect<1200>,time<1.001128>,send<1200>
Info [2021-07-21 23:40:21]thread<8>,clients<150>,connect<1200>,time<1.000725>,send<1200>
Info [2021-07-21 23:40:22]thread<8>,clients<150>,connect<1200>,time<1.000194>,send<1200>
Info [2021-07-21 23:40:23]thread<8>,clients<150>,connect<1200>,time<1.000677>,send<1200>
Info [2021-07-21 23:40:24]thread<8>,clients<150>,connect<1200>,time<1.000023>,send<1200>
Info [2021-07-21 23:40:25]thread<8>,clients<150>,connect<1200>,time<1.000359>,send<1200>
Info [2021-07-21 23:40:26]thread<8>,clients<150>,connect<1200>,time<1.000723>,send<1200>
Info [2021-07-21 23:40:27]thread<8>,clients<150>,connect<1200>,time<1.000318>,send<1200>
Info [2021-07-21 23:40:28]thread<8>,clients<150>,connect<1200>,time<1.000333>,send<1200>
Info [2021-07-21 23:40:29]thread<8>,clients<150>,connect<1200>,time<1.001232>,send<1200>
Info [2021-07-21 23:40:30]thread<8>,clients<150>,connect<1200>,time<1.000252>,send<1200>
Info [2021-07-21 23:40:31]thread<8>,clients<150>,connect<1200>,time<1.000701>,send<1200>
Info [2021-07-21 23:40:32]thread<8>,clients<150>,connect<1200>,time<1.000344>,send<1200>
Info [2021-07-21 23:40:33]thread<8>,clients<150>,connect<1200>,time<1.000299>,send<1200>
Info [2021-07-21 23:40:34]thread<8>,clients<150>,connect<1200>,time<1.001123>,send<1200>
Info [2021-07-21 23:40:36]thread<8>,clients<150>,connect<1200>,time<1.000539>,send<1200>
Info [2021-07-21 23:40:37]thread<8>,clients<150>,connect<1200>,time<1.001243>,send<1200>
Info [2021-07-21 23:40:38]thread<8>,clients<150>,connect<1200>,time<1.000745>,send<1200>
Info [2021-07-21 23:40:39]thread<8>,clients<150>,connect<1200>,time<1.001305>,send<1200>
Info [2021-07-21 23:40:40]thread<8>,clients<150>,connect<1200>,time<1.000134>,send<1200>
Info [2021-07-21 23:40:41]thread<8>,clients<150>,connect<1200>,time<1.000209>,send<1200>
Info [2021-07-21 23:40:42]thread<8>,clients<150>,connect<1200>,time<1.000078>,send<1200>
Info [2021-07-21 23:40:43]thread<8>,clients<150>,connect<1200>,time<1.000383>,send<1200>
Info [2021-07-21 23:40:44]thread<8>,clients<150>,connect<1200>,time<1.000203>,send<1200>
Info [2021-07-21 23:40:45]thread<8>,clients<150>,connect<1200>,time<1.001179>,send<1200>
Info [2021-07-21 23:40:46]thread<8>,clients<150>,connect<1200>,time<1.001717>,send<1200>
Info [2021-07-21 23:40:47]thread<8>,clients<150>,connect<1200>,time<1.000723>,send<1200>
Info [2021-07-21 23:40:48]thread<8>,clients<150>,connect<1200>,time<1.000258>,send<1200>
Info [2021-07-21 23:40:49]thread<8>,clients<150>,connect<1200>,time<1.001149>,send<1200>
Info [2021-07-21 23:40:50]thread<8>,clients<150>,connect<1200>,time<1.000797>,send<1200>
Info [2021-07-21 23:40:51]thread<8>,clients<150>,connect<1200>,time<1.000059>,send<1200>
Info [2021-07-21 23:40:52]thread<8>,clients<150>,connect<1200>,time<1.000769>,send<1200>
Info [2021-07-21 23:40:53]thread<8>,clients<150>,connect<1200>,time<1.000541>,send<1200>
Info [2021-07-21 23:40:54]thread<8>,clients<150>,connect<1200>,time<1.001242>,send<1200>
Info [2021-07-21 23:40:55]thread<8>,clients<150>,connect<1200>,time<1.000821>,send<1200>
Info [2021-07-21 23:40:56]thread<8>,clients<150>,connect<1200>,time<1.000058>,send<1200>
Info [2021-07-21 23:40:57]thread<8>,clients<150>,connect<1200>,time<1.001066>,send<1200>
Info [2021-07-21 23:40:58]thread<8>,clients<150>,connect<1200>,time<1.000765>,send<1200>
Info [2021-07-21 23:40:59]thread<8>,clients<150>,connect<1200>,time<1.000498>,send<1200>
Info [2021-07-21 23:41:00]thread<8>,clients<150>,connect<1200>,time<1.000859>,send<1200>
Info [2021-07-21 23:41:01]thread<8>,clients<150>,connect<1200>,time<1.000221>,send<1200>
Info [2021-07-21 23:41:02]thread<8>,clients<150>,connect<1200>,time<1.000133>,send<1200>
Info [2021-07-21 23:41:03]thread<8>,clients<150>,connect<1200>,time<1.000040>,send<1200>
Info [2021-07-21 23:41:04]thread<8>,clients<150>,connect<1200>,time<1.002136>,send<1350>
Info [2021-07-21 23:41:05]thread<8>,clients<150>,connect<1200>,time<1.001566>,send<1200>
Info [2021-07-21 23:41:06]thread<8>,clients<150>,connect<1200>,time<1.001832>,send<1350>
Info [2021-07-21 23:41:07]thread<8>,clients<150>,connect<1200>,time<1.001058>,send<1200>
Info [2021-07-21 23:41:08]thread<8>,clients<150>,connect<1200>,time<1.000938>,send<1200>
Info [2021-07-21 23:41:09]thread<8>,clients<150>,connect<1200>,time<1.001782>,send<1350>
Info [2021-07-21 23:41:10]thread<8>,clients<150>,connect<1200>,time<1.000710>,send<1350>
Info [2021-07-21 23:41:11]thread<8>,clients<150>,connect<1200>,time<1.001675>,send<1500>
Info [2021-07-21 23:41:12]thread<8>,clients<150>,connect<1200>,time<1.000642>,send<1350>
Info [2021-07-21 23:41:13]thread<8>,clients<150>,connect<1200>,time<1.000229>,send<900>
Info [2021-07-21 23:41:14]thread<8>,clients<150>,connect<1200>,time<1.002831>,send<1500>
